,filename,xmin,ymin,xmax,ymax,points
134,CA_OrangeCo_2011/,-13151931,3951836,-13079627,4024140,6325827165
135,CA_PlacerCo_2012/,-13512406,4649504,-13357014,4804896,4961233219
136,CA_SaltonSea_2010/,-12930243,3901069,-12858611,3972701,7150136823
137,CA_SantaClaraCounty_2020/,-13609013,4404918,-13487521,4526410,170420824394
138,CA_SantaCruzCounty_2020/,-13617757,4406328,-13540461,4483624,41808461973
139,CA_Scripps-Apr_2004/,-13119734,3873880,-13036246,3957368,186415844
140,CA_Scripps-Apr_2005/,-13178950,3837323,-13018426,3997847,422432488
141,CA_Scripps-Dec_2002/,-13121128,3873238,-13036268,3958098,121703264
142,CA_Scripps-Mar_2003/,-13120307,3873675,-13036165,3957817,126916578
143,CA_Scripps-Mar_2006/,-13181565,3830458,-13014187,3997836,401726948
144,CA_Scripps-May_2002/,-13119610,3873810,-13035300,3958120,126671805
145,CA_Scripps-Oct_2003/,-13158204,3830751,-13010046,3978909,214541866
146,CA_Scripps-Oct_2005/,-13180262,3833549,-13016250,3997561,530317000
147,CA_Scripps-Sep_2002/,-13122747,3874444,-13036569,3960622,165137184
148,CA_Scripps-Sep_2004/,-13179598,3835599,-13017394,3997803,501546868
149,CA_UpperSouthAmerican_Eldorado_2019/,-13547690,4501273,-13332904,4716059,278540573208
150,CO_ArkansasValley_2010/,-11904580,4599366,-11722618,4781328,5938170231
151,CO_CentralEasternPlains_1_2020/,-11546070,4744243,-11358496,4931817,55761902351
152,CO_CentralEasternPlains_2_2020/,-11585454,4538047,-11358334,4765167,32115753196
153,CO_DRCOG_1_2020/,-11766727,4834906,-11698903,4902730,19912349351
154,CO_DRCOG_2_2020/,-11750922,4747121,-11592240,4905803,39372539042
155,CO_DRCOG_3_2020/,-11879530,4799673,-11692698,4986505,58382624205
156,CO_DenverDNC_2008/,-11724341,4783807,-11630695,4877453,6429604054
157,CO_Denver_2008/,-11724341,4783807,-11630695,4877453,4224285688
158,CO_Eastern_B1_2018/,-11682481,4886383,-11517453,5051411,24255518161
159,CO_Eastern_B2_QL1_Central_2018/,-11672694,4829188,-11641506,4860376,2295491973
160,CO_Eastern_B2_QL2_Central_2018/,-11684017,4764307,-11657271,4791053,1024996619
161,CO_Eastern_B2_QL2_North_2018/,-11678405,4797138,-11517461,4958082,20957276127
162,CO_Eastern_B3_2018/,-11651193,4693403,-11482925,4861671,29565039389
163,CO_Eastern_B4_2018/,-11583121,4640975,-11483895,4740201,14370321066
164,CO_Eastern_B5_2018/,-11695280,4498698,-11510104,4683874,24651034909
165,CO_Eastern_B6_2018/,-11752773,4436714,-11606345,4583142,25382981671
166,CO_Eastern_ElPaso_2018/,-11696762,4639625,-11581730,4754657,19779340111
167,CO_Eastern_North_Priority_2018/,-11682415,4837931,-11522205,4998141,1214524712
168,CO_Eastern_South_Priority2_2018/,-11727743,4478778,-11652623,4553898,6056552167
169,CO_NESEColorado_1_2019/,-11510558,4541323,-11359336,4692545,10824760393
170,CO_NESEColorado_2_2019/,-11616236,4436841,-11471416,4581661,41310716913
171,CO_NESEColorado_3_2019/,-11489783,4437974,-11343481,4584276,41873464471
172,CO_NESEColorado_4_2019/,-11530831,4870303,-11360121,5041013,47544723148
173,CO_San-Luis-Valley_2011/,-11865680,4438025,-11698122,4605583,18589903247
174,CO_SanLuisJuanMiguel_1_2020/,-11801733,4417874,-11705645,4513962,14362040017
175,CO_SanLuisJuanMiguel_2_2020/,-11964549,4623599,-11794023,4794125,28590791063
176,CO_SanLuisJuanMiguel_3_2020/,-11980275,4436869,-11778307,4638837,48050246218
177,CO_SanLuisJuanMiguel_4_2020/,-12066554,4547297,-11932818,4681033,16884164275
178,CO_SanLuisJuanMiguel_5_2020/,-12145607,4553891,-12018307,4681191,44622737361
179,CO_Southwest_NRCS_B1_2018/,-12140441,4380106,-11897477,4623070,46020121049
180,CO_Southwest_NRCS_B2_2018/,-12066019,4477905,-11908577,4635347,62785474729
181,CO_Southwest_NRCS_B3_2018/,-12063686,4375801,-11851610,4587877,72933186796
182,CO_Southwest_NRCS_TL_2018/,-12140481,4353627,-11905293,4588815,34218484286
183,CO_UpperColorado_Hydroflattened_2020/,-11969787,4648085,-11730103,4887769,6427005630
184,CO_UpperColorado_Topobathy_1_2020/,-11969787,4648085,-11730103,4887769,6427005630
185,CO_WestCentral_2019/,-12021315,4584847,-11814971,4791191,100975650743
186,CT_Statewide_B1_2016/,-8208574,4982121,-8092404,5098291,10828712358
187,CT_Statewide_B2_2016/,-8092424,5018055,-7990694,5119785,10385920008
188,CT_Statewide_B3_2016/,-8187799,5041877,-8092383,5137293,8575205954
189,CT_Statewide_B4_2016/,-8092392,5061435,-7990328,5163499,5164571322
190,CT_Statewide_B5_2016/,-8185138,5078466,-8092360,5171244,8397546759
191,CT_Statewide_B6_2016/,-8092372,5097146,-7991030,5198488,5929558225
192,CT_Statewide_B7_2016/,-8183333,5110514,-8092345,5201502,7157614145
193,FL_CharlotteCounty_2007/,-9169596,3059567,-9079122,3150041,1338575605
194,FL_ClayPutnam_2007/,-9146586,3418808,-9035510,3529884,6312727189
195,FL_DuvalCo_2007/,-9135441,3509122,-9057833,3586730,5276338808
196,FL_Elgin_2006-2008/,-9609495,3562883,-9586185,3586193,859586622
197,FL_EscambiaCo_2006/,-9758757,3538483,-9663447,3633793,1403952287
198,FL_Everglades_N_2017/,-9035740,2918662,-8960260,2994142,56955000608
199,FL_Everglades_S_2017/,-9020204,2884370,-8953850,2950724,69956707513
200,FL_FlaglerCo_2004/,-9073296,3416733,-9028176,3461853,334091829
201,FL_FranklinCo_2007/,-9602960,3449192,-9369786,3682366,7859303554
202,FL_Gulf_2007/,-9523917,3457785,-9449557,3532145,8250884364
203,FL_HerbHooverDike_2007/,-9053159,3030661,-8920057,3163763,6423962557
204,FL_HillsboroughCo-Lot2_2011/,-9202888,3226426,-9149288,3280026,1922492641
205,FL_HillsboroughCo_2007/,-9204615,3204591,-9145763,3263443,3678461552
206,FL_HurricaneMichael_1_2020/,-9432423,3474266,-9329881,3576808,51468529326
207,FL_HurricaneMichael_2_2020/,-9360078,3544362,-9313758,3590682,24780264261
208,FL_HurricaneMichael_3_2020/,-9489700,3450303,-9344670,3595333,83448943893
209,FL_HurricaneMichael_4_2020/,-9428908,3528741,-9349382,3608267,53176875413
210,FL_IndianRiver_2007/,-8977054,3192424,-8937180,3232298,1804367703
211,FL_JeffersonCo-North_2007/,-9360998,3538821,-9305116,3594703,4759764972
212,FL_LeeCounty_2007/,-9159302,3027029,-9079122,3107209,7730920296
213,FL_LeonCo_2009/,-9430548,3524205,-9348230,3606523,2517945713
214,FL_ManateeCo_2007/,-9214527,3164180,-9157773,3220934,1050836849
215,FL_NWFWMD_5-Counties_2007/,-9578282,3513357,-9442978,3648661,6493198210
216,FL_NassauCo_2007/,-9114459,3541515,-9065011,3590963,752155169
217,FL_OkaloosaCo_2007/,-9662115,3538479,-9614223,3586371,1563171538
218,FL_OkaloosaCo_2008/,-9680373,3551712,-9598813,3633272,3114230037
219,FL_Panhandle_TL_2018/,-9595278,3575816,-9482054,3689040,447576949
220,FL_PascoCo_2007/,-9229940,3270225,-9196774,3303391,240823905
221,FL_PascoCo_2011/,-9213297,3254982,-9151079,3317200,1913209267
222,FL_Peninsular_FDEM_Charlotte_2018/,-9171222,3063877,-9079012,3156087,40901859495
223,FL_Peninsular_FDEM_Clay_2018/,-9140733,3465970,-9076831,3529872,59898134357
224,FL_Peninsular_FDEM_Desoto_2018/,-9135459,3118653,-9078873,3175239,41651123727
225,FL_Peninsular_FDEM_Duval_2018/,-9135440,3509802,-9057838,3587404,61009511038
226,FL_Peninsular_FDEM_Glades_2018/,-9080549,3083575,-9003583,3160541,43048696757
227,FL_Peninsular_FDEM_Hendry_2018/,-9080394,3024544,-9001970,3102968,56613215800
228,FL_Peninsular_FDEM_IndianRiver_2018/,-8975836,3194180,-8939430,3230586,8660695141
229,FL_Peninsular_FDEM_KeyBiscayne_2020/,-8926591,2958454,-8921443,2963602,153706103
230,FL_Peninsular_FDEM_Manatee_2018/,-9212771,3138481,-9135447,3215805,38779724728
231,FL_Peninsular_FDEM_Martin_2018/,-8983059,3102235,-8913035,3172259,25208731871
232,FL_Peninsular_FDEM_Nassau_2018/,-9135539,3539700,-9063309,3611930,54683282914
